barrios,perimetro,area,comunas,id,objeto
RECOLETA,21452.8386478,6317264.560990001,2,1,LIMITE COMUNAL
ALMAGRO - BOEDO,12323.4324792,6660603.119369999,5,2,LIMITE COMUNAL
CABALLITO,10990.9644715,6851028.913569999,6,3,LIMITE COMUNAL
FLORES - PARQUE CHACABUCO,17972.2578696,12422900.8308,7,4,LIMITE COMUNAL
LINIERS - MATADEROS - PARQUE AVELLANEDA,21411.738344,16505305.7861,9,5,LIMITE COMUNAL
FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,18332.0374567,12656556.9378,10,6,LIMITE COMUNAL
VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,19987.696155,14120042.4238,11,7,LIMITE COMUNAL
COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,17232.189372,15570926.6376,12,8,LIMITE COMUNAL
PALERMO,22126.5318584,15845871.2876,14,9,LIMITE COMUNAL
BALVANERA - SAN CRISTOBAL,10486.2608092,6385991.39578,3,10,LIMITE COMUNAL
AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,17832.5855796,14322896.604099998,15,11,LIMITE COMUNAL
VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,20935.0125125,22216901.8455,8,12,LIMITE COMUNAL
BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,35423.2827986,21684644.6266,4,13,LIMITE COMUNAL
CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO,36102.2015728,17794568.879,1,14,LIMITE COMUNAL
BELGRANO - COLEGIALES - NUÃ‘EZ,26198.8269533,14713213.1821,13,15,LIMITE COMUNAL
